22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/AnimationButton' windows added. (16D4BE08)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/IrregularButton' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/IrregularButton' windows added. (16D4C558)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/LinkText' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/LinkText' windows added. (16D4BC00)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/AnimateText' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/AnimateText' windows added. (16D4BC68)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Switch' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Switch' windows added. (16D4BFA8)
22/07/2026 20:25:22 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
22/07/2026 20:25:22 (Std) 	CEGUI::System singleton created. (16D078C0)
22/07/2026 20:25:22 (Std) 	---- CEGUI System initialisation completed ----
22/07/2026 20:25:22 (Std) 	
22/07/2026 20:25:22 (Info) 	CEImagesetEditor: initialiseCEGUI begin
22/07/2026 20:25:22 (Info) 	CEImagesetEditor: OpenGL renderer created
22/07/2026 20:25:22 (Info) 	CEImagesetEditor: CEGUI System created
