23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/LinkText' windows added. (160BA4E8)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/AnimateText' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/AnimateText' windows added. (160B9D30)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'CEGUI/Switch' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'CEGUI/Switch' windows added. (160BA418)
23/07/2026 03:55:03 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
23/07/2026 03:55:03 (Std) 	CEGUI::System singleton created. (078E85C0)
23/07/2026 03:55:03 (Std) 	---- CEGUI System initialisation completed ----
23/07/2026 03:55:03 (Std) 	
23/07/2026 03:55:03 (Std) 	[CEGUI_INIT] CEGUI system created system=078E85C0 resourceProvider=078F4510
23/07/2026 03:55:03 (Std) 	[CEGUI_INIT] resource dirs configs='E:\MT3\client\resource\res\table\' layouts='E:\MT3\client\resource\res\ui\layouts\' schemes='E:\MT3\client\resource\res\ui\schemes\' imagesets='E:\MT3\client\resource\res\ui\imagesets\' fonts='E:\MT3\client\resource\res\ui\fonts\' looknfeel='E:\MT3\client\resource\res\ui\looknfeel\' lua_scripts='E:\MT3\tools\CELayoutEditor-0.7.1\datafiles\lua_scripts\'
23/07/2026 03:55:03 (Std) 	Started creation of Scheme from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI GUIScheme name: TaharezLook
23/07/2026 03:55:03 (Info) 	Finished creation of GUIScheme 'TaharezLook' via XML file. (160C23E0)
23/07/2026 03:55:03 (Info) 	---- Begining resource loading for GUI scheme 'TaharezLook' ----
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: ccui
23/07/2026 03:55:03 (Std) 	---- Source texture file: ccui.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'ccui' via XML file. (07872798)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: ccButton
23/07/2026 03:55:03 (Std) 	---- Source texture file: ccButton.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'ccButton' via XML file. (078725C8)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: rankdbui
23/07/2026 03:55:03 (Std) 	---- Source texture file: rankdbui.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'rankdbui' via XML file. (07871748)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: baichongUI2
23/07/2026 03:55:03 (Std) 	---- Source texture file: baichongUI2.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'baichongUI2' via XML file. (07870B80)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: my_skbh
23/07/2026 03:55:03 (Std) 	---- Source texture file: my_skbh.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'my_skbh' via XML file. (078710F0)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: my_jhqxui
23/07/2026 03:55:03 (Std) 	---- Source texture file: my_jhqxui.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'my_jhqxui' via XML file. (07871918)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: my_yuehuahuanyi
23/07/2026 03:55:03 (Std) 	---- Source texture file: my_yuehuahuanyi.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'my_yuehuahuanyi' via XML file. (07871AE8)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: my_shouchon
23/07/2026 03:55:03 (Std) 	---- Source texture file: my_shouchon.png in resource group: (Default)
